identifier,category,timestamp,x,y
23.0,2.0,1683896502.003283,842,274
23.0,2.0,1683896502.2686145,832,273
25.0,2.0,1683896497.3705914,707,278
25.0,2.0,1683896497.5352724,720,282
25.0,2.0,1683896497.699953,733,286
25.0,2.0,1683896497.864634,752,294
25.0,2.0,1683896498.0293148,766,301
25.0,2.0,1683896498.1939957,783,312
25.0,2.0,1683896498.3586764,800,324
25.0,2.0,1683896498.5233574,824,337
25.0,2.0,1683896498.688038,844,351
25.0,2.0,1683896498.852719,867,364
25.0,2.0,1683896499.0173998,901,384
25.0,2.0,1683896499.1820807,930,402
25.0,2.0,1683896499.3467617,962,424
25.0,2.0,1683896499.5114424,998,449
25.0,2.0,1683896499.6761234,1045,486
25.0,2.0,1683896499.840804,1092,519
25.0,2.0,1683896500.005485,1141,553
25.0,2.0,1683896500.1701658,1178,597
25.0,2.0,1683896500.3348467,1203,617
25.0,2.0,1683896500.4995275,1239,642
22.0,2.0,1683896498.1386333,487,327
22.0,2.0,1683896498.278096,491,327
22.0,2.0,1683896498.4175587,496,328
22.0,2.0,1683896498.5570214,500,330
22.0,2.0,1683896498.696484,505,331
22.0,2.0,1683896498.8359468,509,330
26.0,2.0,1683896498.2596407,636,460
26.0,2.0,1683896498.4095917,622,463
26.0,2.0,1683896498.5595427,600,466
26.0,2.0,1683896498.7094936,561,471
26.0,2.0,1683896498.8594446,528,473
26.0,2.0,1683896499.0093958,504,477
26.0,2.0,1683896499.1593468,482,480
26.0,2.0,1683896499.3092978,465,479
28.0,2.0,1683896498.425111,712,276
28.0,2.0,1683896498.5739176,723,279
28.0,2.0,1683896498.7227242,741,284
28.0,2.0,1683896498.8715308,753,287
28.0,2.0,1683896499.0203373,768,292
28.0,2.0,1683896499.169144,787,300
28.0,2.0,1683896499.3179505,805,310
28.0,2.0,1683896499.466757,823,318
28.0,2.0,1683896499.6155636,841,331
28.0,2.0,1683896499.7643702,865,347
28.0,2.0,1683896499.9131765,888,363
28.0,2.0,1683896500.061983,911,383
28.0,2.0,1683896500.2107897,945,404
28.0,2.0,1683896500.3595963,979,428
28.0,2.0,1683896500.5084028,1011,456
28.0,2.0,1683896500.6572094,1051,488
28.0,2.0,1683896500.806016,1106,538
28.0,2.0,1683896500.9548225,1157,579
28.0,2.0,1683896501.103629,1181,612
27.0,2.0,1683896498.4320843,524,422
27.0,2.0,1683896498.6882582,524,425
27.0,2.0,1683896498.9444318,516,427
27.0,2.0,1683896499.2006056,510,429
27.0,2.0,1683896499.4567792,508,430
27.0,2.0,1683896499.712953,505,430
27.0,2.0,1683896499.9691267,504,429
27.0,2.0,1683896500.2253006,502,427
27.0,2.0,1683896500.4814742,501,428
27.0,2.0,1683896500.737648,499,433
27.0,2.0,1683896500.9938216,497,434
27.0,2.0,1683896501.2499955,495,434
27.0,2.0,1683896501.5061693,491,436
27.0,2.0,1683896501.762343,488,436
27.0,2.0,1683896502.0185168,484,435
27.0,2.0,1683896502.2746904,481,435
27.0,2.0,1683896502.5308642,476,433
27.0,2.0,1683896502.7870378,468,432
27.0,2.0,1683896503.0432117,466,429
27.0,2.0,1683896503.2993853,465,424
29.0,2.0,1683896498.5965934,1251,392
29.0,2.0,1683896498.7444904,1238,384
29.0,2.0,1683896498.8923876,1227,373
29.0,2.0,1683896499.0402846,1215,365
29.0,2.0,1683896499.1881819,1203,354
29.0,2.0,1683896499.336079,1186,347
29.0,2.0,1683896499.483976,1166,339
29.0,2.0,1683896499.6318731,1146,333
29.0,2.0,1683896499.7797701,1122,326
29.0,2.0,1683896499.9276674,1104,320
29.0,2.0,1683896500.0755644,1085,314
