identifier,category,timestamp,x,y
3.0,6.0,1682594218.4659793,599,138
3.0,6.0,1682594218.6579843,563,137
3.0,6.0,1682594218.8499892,562,137
3.0,6.0,1682594219.0419939,559,135
3.0,6.0,1682594219.2339988,556,136
3.0,6.0,1682594219.4260037,538,136
3.0,6.0,1682594219.6180086,535,135
3.0,6.0,1682594219.8100135,531,134
3.0,6.0,1682594220.0020185,529,135
3.0,6.0,1682594220.1940234,527,135
3.0,6.0,1682594220.386028,524,135
3.0,6.0,1682594220.578033,521,134
3.0,6.0,1682594220.770038,517,135
3.0,6.0,1682594220.9620428,513,135
3.0,6.0,1682594221.1540477,510,135
3.0,6.0,1682594221.3460526,507,134
3.0,6.0,1682594221.5380576,504,135
3.0,6.0,1682594221.7300622,501,135
3.0,6.0,1682594221.9220672,498,135
3.0,6.0,1682594222.114072,493,135
5.0,3.0,1682594199.3368914,1217,605
6.0,0.0,1682594199.4732544,1208,534
6.0,0.0,1682594199.6111088,1185,522
6.0,0.0,1682594199.748963,1169,509
6.0,0.0,1682594199.8868175,1150,502
6.0,0.0,1682594200.0246716,1135,492
6.0,0.0,1682594200.162526,1123,476
6.0,0.0,1682594200.3003802,1107,472
6.0,0.0,1682594200.4382346,1094,462
6.0,0.0,1682594200.576089,1082,457
6.0,0.0,1682594200.7139432,1069,446
6.0,0.0,1682594200.8517976,1059,437
6.0,0.0,1682594200.9896517,1051,430
6.0,0.0,1682594201.127506,1038,426
6.0,0.0,1682594201.2653604,1030,418
6.0,0.0,1682594201.4032147,1020,412
6.0,0.0,1682594201.541069,1010,412
6.0,0.0,1682594201.6789234,998,400
6.0,0.0,1682594201.8167777,992,391
6.0,0.0,1682594201.9546318,982,389
6.0,0.0,1682594202.0924861,969,386
6.0,0.0,1682594202.2303405,959,381
6.0,0.0,1682594202.3681948,950,376
6.0,0.0,1682594202.5060492,938,369
6.0,0.0,1682594202.6439035,927,368
6.0,0.0,1682594202.7817578,914,361
6.0,0.0,1682594202.9196122,899,357
6.0,0.0,1682594203.0574663,890,356
6.0,0.0,1682594203.1953206,877,346
6.0,0.0,1682594203.333175,865,344
6.0,0.0,1682594203.4710293,853,339
6.0,0.0,1682594203.6088836,844,333
6.0,0.0,1682594203.746738,828,318
6.0,0.0,1682594203.8845923,814,317
