identifier,category,timestamp,x,y
25.0,0.0,1682594416.0442545,536,234
25.0,0.0,1682594416.172678,539,234
25.0,0.0,1682594416.3011017,540,237
25.0,0.0,1682594416.4295251,542,238
25.0,0.0,1682594416.5579486,543,245
26.0,3.0,1682594415.915831,535,253
26.0,3.0,1682594416.0762253,537,257
26.0,3.0,1682594416.2366192,538,267
26.0,3.0,1682594416.3970132,542,270
26.0,3.0,1682594416.5574074,543,276
26.0,3.0,1682594416.7178016,545,278
26.0,3.0,1682594416.8781955,549,280
26.0,3.0,1682594417.0385895,550,287
22.0,0.0,1682594389.9858222,894,243
22.0,0.0,1682594390.688136,892,238
22.0,0.0,1682594391.39045,890,243
22.0,0.0,1682594392.092764,889,241
22.0,0.0,1682594392.795078,887,241
22.0,0.0,1682594393.497392,885,243
22.0,0.0,1682594394.1997058,883,242
22.0,0.0,1682594394.9020197,877,242
22.0,0.0,1682594395.6043336,876,239
22.0,0.0,1682594396.3066475,874,240
22.0,0.0,1682594397.0089617,873,238
22.0,0.0,1682594397.7112756,871,239
22.0,0.0,1682594398.4135895,869,239
22.0,0.0,1682594399.1159034,871,239
22.0,0.0,1682594399.8182173,870,241
22.0,0.0,1682594400.5205312,873,239
22.0,0.0,1682594401.222845,872,241
22.0,0.0,1682594401.9251592,870,241
22.0,0.0,1682594402.627473,875,239
22.0,0.0,1682594403.329787,872,241
22.0,0.0,1682594404.032101,874,240
22.0,0.0,1682594404.7344148,874,242
22.0,0.0,1682594405.4367287,872,242
22.0,0.0,1682594406.1390429,874,241
22.0,0.0,1682594406.8413568,870,242
22.0,0.0,1682594407.5436707,872,242
22.0,0.0,1682594408.2459846,874,240
22.0,0.0,1682594408.9482985,872,241
22.0,0.0,1682594409.6506124,872,243
22.0,0.0,1682594410.3529263,874,242
22.0,0.0,1682594411.0552404,871,242
22.0,0.0,1682594411.7575543,875,241
22.0,0.0,1682594412.4598682,873,240
22.0,0.0,1682594413.162182,875,240
22.0,0.0,1682594413.864496,873,240
22.0,0.0,1682594414.56681,877,239
22.0,0.0,1682594415.269124,874,239
22.0,0.0,1682594415.971438,876,238
22.0,0.0,1682594416.6737518,874,239
